Product code,Description
wrds_trade_exec_samp,Trade Execution by WRDS Sample
wrds_trade_execution,Trade Execution by WRDS
wrds_trading_suite,WRDS trading suite
wrds_xbrl_fundamental,WRDS XBRL Fundamental
wrdsapps_evtstudy_int_ciq,Event Study Intl using Compustat with Capital IQ
wrdsapps_evtstudy_intraday,Event Study Intraday
wrdsapps_evtstudy_intraday_rav,Event Study Intraday with Ravenpack
wrdsapps_evtstudy_lr_ciq,Event Study Long Run with Capital IQ
wrdsapps_evtstudy_us_ciq,WRDS Event Study US with Capital IQ
wrdsapps_finratio_ibes,WRDS Financial Ratios with Ibes
wrdsapps_finratio_ibes_ccm,WRDS Financial Ratios with Ibes and CCM
wrdsapps_link_crsp_ibes,Linking Suite: Ibes - CRSP
wrdsapps_link_crsp_taqm,Linking Suite: TAQ Daily - CRSP
wrdsapps_link_datastream_wscope,WRDS Linking Datastream to Worldscope
wrdsapps_link_dealscan_wscope,Linking Suite: Dealscan - Worldscope
wrdsapps_link_trinsider_bdx,Linking Suite: Thomson Insiders - Boardex
wrdsapps_plink_boardex_trinsider,None
wrdsapps_plink_boardex_twoiq,None
wrdsapps_plink_exec_trinsider,None
wrdsapps_plink_exec_twoiq,None
wrdsapps_plink_trinsider_ciq,None
wrdsapps_plink_trinsider_twoiq,None
wrdsapps_plink_twoiq_ciq,None
wrdsrpts_vendor_usage,WRDS Vendor Usage Reports for consumption by WRDS Vendors
wta_audit_audit_comp,WTA and Audit Analytics Revised Audit Opinions
wta_ciq_keydev,WTA and CIQ Key Developments
wta_ciq_transcripts,WRDS Text Analysis & Capital IQ Transcripts
wta_ciqsamp_keydev,WTA and CIQ Sample Key Developments
wta_ciqsamp_transcripts,WRDS Text Analysis & Capital IQ Sample Transcripts
wta_gutenberg,WTA and Project Gutenberg
wta_lexisnexis_metabase,LexisNexis on the WRDS Text Analytics platform.
wta_twitter_samp,WTA and Twitter Sample
wta_wrdssec_all,WRDS Text Analysis & WRDS SEC Platform.
zacks_all,Zacks Investment Research
